A.Edwards:Anthony Edwards
A.Gordon:Aaron Gordon
A.Gudaitis:Arturas Gudaitis
A.Hollins:Austin Hollins
A.Horford:Al Horford
A.Milaknis:Arturas Milaknis
A.Polonara:Achille Polonara
A.Poythress:Alex Poythress
A.Rubit:Augustine Rubit
A.Shved:Alexey Shved
A.Vezenkov:Sasha
A.Wiggins:Andrew Wiggins
B.Baron:Billy Baron
B.Beal:Bradley Beal
B.Davies:Brandon Davies
B.Hield:Buddy Hield
B.Ingram:Brandon Ingram
B.Lammers:Ben Lammers
Bog.Bogdanovic:Bogdan Bogdanovic
Boj.Bogdanovic:Bojan Bogdanovic
C.Anthony:Cole Anthony
C.Capela:Clint Capela
C.Cunningham:Cade Cunningham
C.Higgins:Cory Higgins
C.J.McCollum:CJ McCollum
C.Jones:Chris Jones
C.LeVert:Caris LeVert
C.Paul:Chris Paul
C.Sexton:Collin Sexton
C.Walden:Corey Walden
C.Wood:Christian Wood
D.Andjusic:Danilo Andjusic
D.Ayton:Deandre Ayton
D.Bane:Desmond Bane
D.Bazley:Darius Bazley
D.Booker:Devin Booker
D.Brooks:Dillon Brooks
D.Davidovac:Dejan Davidovac
D.DeRozan:DeMar DeRozan
D.Finney-Smith:Dorian Finney-Smith
D.Fox:De'Aaron Fox
D.Garland:Darius Garland
D.Graham:Devonte' Graham
D.Hilliard:Darrun Hilliard
D.Lighty:David Lighty
D.Lillard:Damian Lillard
D.Macon:Daryl Macon Jr
D.McDermott:Doug McDermott
D.Mitchell:Donovan Mitchell
D.Motiejunas:Donatas Motiejunas
D.Murray:Dejounte Murray
D.Pierre:Dyshawn Pierre
D.Powell:Dwight Powell
D.Russell:D'Angelo Russell
D.Sabonis:Domantas Sabonis
D.Schroder:Dennis Schroder
D.Thomas:Deshaun Thomas
D.White:Derrick White
E.Adebayo:Bam Adebayo
E.Bledsoe:Eric Bledsoe
E.Fournier:Evan Fournier
E.Gordon:Eric Gordon
E.Mobley:Evan Mobley
E.Mudiay:Emmanuel Mudiay
E.Okobo:Elie Okobo
E.Ulanovas:Edgaras Ulanovas
F.VanVleet:Fred VanVleet
F.Wagner:Franz Wagner
G.Allen:Grayson Allen
G.Antetokounmpo:Giannis Antetokounmpo
G.Hayward:Gordon Hayward
G.Papagiannis:Georgios Papagiannis
G.Trent:Gary Trent Jr.
G.Yabusele:Guerschon Yabusele
H.Barnes:Harrison Barnes
I.Canaan:Isaiah Canaan
I.Papapetrou:Ioannis Papapetrou
I.Stewart:Isaiah Stewart
I.Zubac:Ivica Zubac
J.Allen:Jarrett Allen
J.Brown:Jhon Brown
J.Butler:Jimmy Butler
J.Clarkson:Jordan Clarkson
J.Collins:John Collins
J.Embiid:Joel Embiid
J.Giddey:Josh Giddey
J.Granger:Jayson Granger
J.Grant:Jerami Grant
J.Green:Reggie Jackson
J.Harden:James Harden
J.Harris:Joe Harris
J.Holiday:Jrue Holiday
J.Lauvergne:Joffrey Lauvergne
J.Loyd:Jordan Loyd
J.Mickey:Jordan Mickey
J.Morant:Ja Morant
J.Nebo:Josh Nebo
J.Nunnally:James Nunnally
J.Nurkic:Jusuf Nurkic
J.Poole:Jordan Poole
J.Randle:Julius Randle
J.Reynolds:Jalen Reynolds
J.Strelnieks:Janis Strelnieks
J.Suggs:Jalen Suggs
J.Tatum:Jayson Tatum
J.Valanciunas:Jonas Valanciunas
J.Vesely:Jan Vesely
Ja.Jackson:Jaren Jackson Jr.
K.Caldwell-Pope:Kentavious Caldwell-Pope
K.Durant:Kevin Durant
K.Johnson:Keldon Johnson
K.Kuric:Kyle Kuric
K.Kuzma:Kyle Kuzma
K.Mitoglou:Konstantinos Mitoglou
K.Perry:Kendrick Perry
K.Porter:Otto Porter Jr.
K.Porzingis:Kristaps Porzingis
K.Simon:Krunoslav Simon
K.Sloukas:Kostas Sloukas
K.Towns:Karl-Anthony Towns
K.Walker:Kemba Walker
L.Brown:Lorenzo Brown
L.Doncic:Luka Doncic
L.Dort:Luguentz Dort
L.Lekavicius:Lukas Lekavicius
L.Nnoko:Landry Nnoko
L.Sikma:Luke Sikma
La.Ball:LaMelo Ball
Lo.Ball:Lonzo Ball
M.Bamba:Mo Bamba
M.Bridges:Miles Bridges
M.Brogdon:Malcolm Brogdon
M.Conley:Mike Conley
M.Costello:Matthew Costello
M.Delaney:Malcom Delaney
M.Eriksson:Marcus Eriksson
M.Guduric:Marko Guduric
M.Harrell:Montrezl Harrell
M.Hezonja:Mario Hezonja
M.James:Mike James
M.Lo:Maodo Lo
M.Ponitka:Mateusz Ponitka
M.Shayok:Marial Shayok
M.Smart:Marcus Smart
M.Turner:Myles Turner
N.Batum:Nicolas Batum
N.Calathes:Nick Calathes
N.De Colo:Nando De Colo
N.Giffey:Niels Giffey
N.Hayes:Nigel Hayes-Davis
N.Ivanovic:Nikola Ivanovic
N.Jokic:Nikola Jokic
N.Kalinic:Nikola Kalinic
N.Melli:Nicolo Melli
N.Milutinov:Nikola Milutinov
N.Mirotic:Nikola Mirotic
N.Powell:Norman Powell
N.Vucevic:Nikola Vucevic
N.Walker:Nickeil Alexander-Walker
N.Weiler-Babb:Nick Weiler-Babb
N.Williams-Goss:Nigel Williams-Goss
N.Wolters:Nate Wolters
O.Anunoby:OG Anunoby
O.Dobric:Ognjen Dobric
O.Kuzmic:Ognjen Kuzmic
O.White:Okaro White
P.George:Paul George
P.Henry:Pierria Henry
R.Barret:RJ Barrett
R.Barrett:RJ Barrett
R.Beaubois:Rodrigue Beaubois
R.Giedraitis:Rokas Giedraitis
R.Gobert:Rudy Gobert
R.Gray:Rob Gray
R.Holmes:Richaun Holmes
R.Jackson:Reggie Jackson
R.Rubio:Ricky Rubio
S.Barnes:Scottie Barnes
S.Bey:Saddiq Bey
S.Dinwiddie:Spencer Dinwiddie
S.Fontecchio:Simone Fontecchio
S.Gilgeous-Alexander:Shai Gilgeous-Alexander
S.Larkin:Shane Larkin
S.Llull:Sergio Llull
S.McKissic:Shaquielle McKissic
S.Rodriguez:Sergio Rodriguez
S.Shields:Shavon Shields
S.Vezenkov:Sasha Vezenkov
S.Wilbekin:Scottie Wilbekin
Se.Curry:Seth Curry
St.Curry:Stephen Curry
T.Cavanaugh:Tyler Cavanaugh
T.Dorsey:Tyler Dorsey
T.F.Jekiri:Tonye Jekiri
T.Hardaway:Tim Hardaway Jr.
T.Herro:Tyler Herro
T.Heurtel:Thomas Heurtel
T.Maxey:Tyrese Maxey
T.Rozier:Terry Rozier
T.Shengelia:Tornike Shengelia
T.Young:Trae Young
V.Lucic:Vladimir Lucic
V.Micic:Vasilije Micic
V.Poirier:Vincent Poirier
W.Baldwin:Wade Baldwin Iv
W.Barton:Will Barton
W.Carter:Wendell Carter Jr.
W.Clyburn:Will Clyburn
W.Howard:William Howard
W.Tavares:Walter Tavares
