AS Monaco/Andjusic, Danilo
AS Monaco/Hall, Donta
AS Monaco/James, Mike
ASVEL Lyon Villeurbanne/Jones, Chris
ASVEL Lyon Villeurbanne/Knight, Marcos
ASVEL Lyon Villeurbanne/Okobo, Elie
Alba Berlin/Da Silva, Oscar
Alba Berlin/Lo, Maodo
Alba Berlin/Sikma, Luke
Anadolu Efes/Beaubois, Rodrigue
Anadolu Efes/Larkin, Shane
Anadolu Efes/Micic, Vasilije
Anadolu Efes/Moerman, Adrien Rene
Anadolu Efes/Simon, Krunoslav
Atlanta/Bogdanovic, Bogdan
Atlanta/Collins, John
Atlanta/Young, Trae
BC Olympiakos Piraeus/Dorsey, Tyler
BC Olympiakos Piraeus/Sloukas, Kostas
BC Olympiakos Piraeus/Vezenkov, Sasha
BC Uniks Kazan/Brown, Lorenzo
BC Uniks Kazan/Canaan, Isaiah
BC Uniks Kazan/Hezonja, Mario
Baskonia Vitoria-Gasteiz/Baldwin, Wade
Baskonia Vitoria-Gasteiz/Fontecchio, Simone
Baskonia Vitoria-Gasteiz/Giedraitis, Rokas
Bayern Munich/Hilliard, Darrun
Bayern Munich/Lucic, Vladimir
Bayern Munich/Rubit, Augustine
Bayern Munich/Thomas, Deshaun
Bayern Munich/Walden, Corey
Boston Celtics/Horford, Al
Boston Celtics/Schroder, Dennis
Boston Celtics/Smart, Marcus
Boston Celtics/Tatum, Jayson
Brooklyn/Durant, Kevin
Brooklyn/Harden, James
Brooklyn/LaMarcus Aldridge
CSKA Moscow/Clyburn, William
CSKA Moscow/Shengelia, Tornike
CSKA Moscow/Shved, Alexey
Charlotte Hornets/Ball, LaMelo
Charlotte Hornets/Bridges, Miles
Charlotte Hornets/Hayward, Gordon
Charlotte Hornets/Rozier, Terry
Chicago/Ball, Lonzo
Chicago/DeMar DeRozan
Chicago/LaVine, Zach
Cleveland/Allen, Jarrett
Cleveland/Garland, Darius
Cleveland/Mobley, Evan
Crvena Zvezda/Dobric, Ognjen
Crvena Zvezda/Kalinic, Nikola
Crvena Zvezda/Wolters, Nate
Dallas/Doncic, Luka
Dallas/Hardaway Jr., Tim
Dallas/Porzingis, Kristaps
Denver/Barton, Will
Denver/Gordon, Aaron
Denver/Jokic, Nikola
Detroit Pistons/Bey, Saddiq
Detroit Pistons/Cunningham, Cade
Detroit Pistons/Grant, Jerami
FC Barcelona/Calathes, Nick
FC Barcelona/Davies, Brandon
FC Barcelona/Mirotic, Nikola
Fenerbahce Istanbul/Booker, Devin
Fenerbahce Istanbul/De Colo, Nando
Fenerbahce Istanbul/Guduric, Marko
Fenerbahce Istanbul/Vesely, Jan
Golden State Warriors/Curry, Stephen
Golden State Warriors/Poole, Jordan
Golden State Warriors/Wiggins, Andrew
Houston/Green, Jalen
Houston/Jae Sean Tate
Houston/Porter Jr., Kevin
Houston/Wood, Christian
Indiana/Brogdon, Malcolm
Indiana/Duarte, Chris
Indiana/LeVert, Caris
Indiana/Sabonis, Domantas
Indiana/Turner, Myles
LA Clippers/Batum, Nicolas
LA Clippers/Bledsoe, Eric
LA Clippers/George, Paul
LA Clippers/Jackson, Reggie
LA Clippers/Zubac, Ivica
Los Angeles Lakers/Anthony, Carmelo
Los Angeles Lakers/Davis, Anthony
Los Angeles Lakers/Westbrook, Russell
Maccabi Tel-Aviv/Nunnally, James
Maccabi Tel-Aviv/Wilbekin, Scott
Maccabi Tel-Aviv/Williams, Derrick
Maccabi Tel-Aviv/Zizic, Ante
Memphis/Bane, Desmond
Memphis/Jackson Jr., Jaren
Memphis/Morant, Ja
Milano/Datome, Luigi
Milano/Hall, Devon
Milano/Melli, Nicolo
Milano/Shields, Shavon
Milwaukee Bucks/Antetokounmpo, Giannis
Milwaukee Bucks/Holiday, Jrue
Milwaukee Bucks/Portis, Bobby
Minnesota Timberwolves/Edwards, Anthony
Minnesota Timberwolves/Russell, D`Angelo
Minnesota Timberwolves/Towns, Karl-Anthony
New Orleans/Graham, Devonte
New Orleans/Ingram, Brandon
New Orleans/Valanciunas, Jonas
New York/Barrett, RJ
New York/Fournier, Evan
New York/Randle, Julius
New York/Walker, Kemba
Oklahoma City/Bazley, Darius
Oklahoma City/Dort, Luguentz
Oklahoma City/Gilgeous Alexander, S.
Orlando/Anthony, Cole
Orlando/Bamba, Mo
Orlando/Carter Jr., Wendell
Orlando/Wagner, Franz
Panathinaikos BC/Macon, Daryl
Panathinaikos BC/Papagiannis, Georgios
Panathinaikos BC/Papapetrou, Ioannis
Philadelphia/Curry, Seth
Philadelphia/Harris, Tobias
Philadelphia/Maxey, Tyrese
Phoenix/Booker, Devin
Phoenix/Bridges, Mikal
Phoenix/Paul, Chris
Portland/Lillard, Damian
Portland/McCollum, CJ
Portland/Nurkic, Jusuf
Portland/Powell, Norman
Real Madrid/Heurtel, Thomas
Real Madrid/Llull, Sergio
Real Madrid/Tavares, Walter
Real Madrid/Yabusele, Guerschon
Sacramento Kings/Barnes, Harrison
Sacramento Kings/Fox, De'Aaron
Sacramento Kings/Hield, Buddy
San Antonio/Derrick White
San Antonio/Johnson, Keldon
San Antonio/McDermott, Doug
San Antonio/Murray, Dejounte
Toronto/Anunoby, OG
Toronto/Barnes, Scottie
Toronto/Siakam, Pascal
Toronto/Trent Jr., Gary
Toronto/VanVleet, Fred
Utah/Bogdanovic, Bojan
Utah/Clarkson, Jordan
Utah/Conley, Mike
Utah/Gobert, Rudy
Utah/Mitchell, Donovan
Washington/Beal, Bradley
Washington/Dinwiddie, Spencer
Washington/Kuzma, Kyle
Zalgiris/Cavanaugh, Tyler
Zalgiris/Lekavicius, Lukas
Zalgiris/Nebo, Josh
Zalgiris/Strelnieks, Janis
Zalgiris/Webster, Tai
Zenit SP/Baron, Billy
Zenit SP/Loyd, Jordan
Zenit SP/Mickey, Jordan
